ano,tag,nomeMusica
1997,pop,Outside
1997,pop,Honey
1997,jazz,Only You
1997,rock,Waiting
1997,rock,Subterranean Homesick Alien
1997,rock,The Door
1997,rock,Roses
1997,country,Paper Tigers (acoustic version)
1997,rock,Paper Tigers (acoustic version)
1998,rock,Tearing Everyone Down
1998,rock,Alpha Beta Parking Lot
1998,country,Give It Up Or Let Me Go
1998,country,When Jesus Comes Calling For Me
1998,pop,When Jesus Comes Calling For Me
1998,country,Better Days (Album Version)
1998,rock,La Vuelta
1998,jazz,Summer Rain
1998,rock,House Full Of Bullets
1998,country,Flaming Red
1998,rock,Wishlist
1998,rock,Pub Pusher
1998,pop,Still Love Remains (Album Version)
1998,pop,When A Man Is Wrong (Album Version)
1998,rock,I'm A Lazy Sod (Live)
1998,jazz,What If I Forget The Champagne
1998,rock,What If I Forget The Champagne
1998,rock,Paralyzed
1998,rock,Marvel Hill
1998,rock,Explode
1998,jazz,Flight To Jordan
1998,reggae,She Will Never Let Me Down
1998,rock,She Will Never Let Me Down
1998,jazz,Le Temps Des Cerises
1998,rock,From Afar (Album Version)
1998,rock,El Greco: Movement III
1999,rock,Be Like That
1999,rock,Duck And Run
1999,rock,This Is NOT a Crass Song
1999,pop,Larger Than Life
1999,reggae,Small Axe
1999,reggae,Memphis
1999,country,I Can't Wait 'Til Christmas (LP Version)
1999,country,God Gave Me You (Single/LP Version)
1999,country,Love Happens Just Like That (LP Version)
1999,rock,Don't Panic
1999,jazz,Sunshower
1999,country,Hole In My Head
1999,rock,Leo's place
1999,country,Let's Make Love (Album Version)
1999,rock,Next Year
1999,pop,Voici Les Clés
1999,rock,Keep The Circle Around
1999,country,Love Is What We Make It
1999,pop,Love Is What We Make It
1999,country,Make Me Believe
1999,country,Anything's Better Than Feelin' The Blues
1999,rock,The Frail
1999,rock,Every You Every Me (Infected By The Scourge Of The Earth)
1999,rock,E
1999,rock,Get On Top (Album Version)
1999,rock,Emit Remmus (Album Version)
1999,rock,Parallel Universe (Album Version)
1999,pop,You Can Still Be Free
1999,rock,You Can Still Be Free
1999,country,Two Hearts One Love
1999,pop,Two Hearts One Love
1999,rock,Two Hearts One Love
1999,rock,Fever Dream
1999,pop,Atrapados En La Red
1999,country,Menutha
2000,pop,The Call
2000,pop,Shape Of My Heart
2000,pop,Everyday
2000,pop,Tell Your Momma Come
2000,pop,On My Own
2000,pop,Magic
2000,pop,Don't Go Knockin' On My Door
2000,pop,Can't Make You Love Me
2000,pop,Oops!...I Did It Again
2000,rock,Korea (LP Version)
2000,rock,God You Are My God
2000,pop,Shifty Disco Girl
2000,pop,Bigbigkiss
2000,country,When I Was Drinking
2000,country,Polly's Dress
2000,rock,Fortunate Fool
2000,rock,It's All Understood
2000,rock,Inaudible Melodies
2000,country,The Woman I Need (Honky Tonk Mind)
2000,rock,Pushing Me Away (Album Version)
2000,rock,Crawling (Album Version)
2000,rock,Answer In The Question
2000,rock,Metal
2000,pop,Volvere
2000,rock,Slave To The Wage
2000,rock,Everything In Its Right Place
2000,rock,Kick Out The Jams
2000,rock,Much Against Everyone'S Advice (Dave Bascombe Radio Mix)
2000,rock,Real Love
2000,rock,New York
2001,pop,Lachen und weinen
2001,rock,Spaz's House Destruction Party
2001,rock,Unwanted
2001,reggae,Rainbow Country (Red Gold And Green Version)
2001,pop,Boys
2001,rock,Arco Arena
2001,rock,The Space Between
2001,country,There Will Come A Day (Album Version)
2001,rock,Rock The House (Explicit)
2001,rock,Rock The House (Radio Edit)
2001,reggae,Out Deh
2001,rock,Just A Phase
2001,rock,Warning
2001,rock,El Momento
2001,pop,Peaceful World
2001,rock,Peaceful World
2001,pop,Heaven Can Wait
2001,rock,Heaven Can Wait
2001,rock,Time Will Tell
2001,rock,Bath Of Least Resistance
2001,pop,Una na na
2001,country,Threadbare Gypsy Soul
2001,rock,Fast-Track
2001,rock,Everchanging
2001,rock,1000 Good Intentions
2001,pop,I'm Alive (BT & Sasha Mix)
2001,rock,Fire
2001,rock,Streamline
2001,pop,Cut Here
2001,rock,Cut Here
2001,rock,Soot and Stars
2001,rock,Don't Let Go
2002,pop,Mädchen mit Plan
2002,rock,Sarah Yellin'
2002,rock,Here Without You
2002,pop,Love Thing
2002,rock,The Distance
2002,rock,Celluloid Heroes
2002,rock,Going Down
2002,rock,Ja Nun Hons Pris
2002,country,Help Me Make It Through the Night
2002,rock,One I Love
2002,pop,That Old Gang Of Mine
2002,country,Unsaveable (Album Version)
2002,rock,Overdrive
2002,rock,The Witching Hour
2002,pop,Clown
2002,rock,You Are
2002,jazz,Testify
2002,pop,Testify
2002,rock,Testify
2002,rock,Strip The Soul (album version)
2002,rock,Everybody's Gonna Be Happy
2002,rock,Venice Queen (Album Version)
2002,rock,Dope Nose
2003,rock,It's Not Me
2003,rock,This House Is Haunted
2003,pop,Erased
2003,rock,Erased
2003,rock,Death Of A Nation
2003,rock,I Don't Wanna be a War Hero
2003,pop,Be With You
2003,pop,Krazy In Luv
2003,rock,All Of This
2003,pop,"Theme From ""Come September"" (LP Version)"
2003,rock,"Theme From ""Come September"" (LP Version)"
2003,pop,Everytime
2003,reggae,Excerpt Of A Speech By Marcus Mosiah Garvey
2003,jazz,Anyone Who Had A Heart
2003,pop,C'est Toujours Le Matin
2003,rock,A Rush Of Blood To The Head (Live In Sydney)
2003,rock,Fall Line
2003,reggae,How Can I
2003,country,Where Does Rosie Go?
2003,pop,Where Does Rosie Go?
2003,rock,Genius
2003,rock,Wicker Chair
2003,country,God's Will
2003,rock,Saturday Night's Alright (For Fighting)
2003,jazz,Welcome
2003,pop,Welcome
2003,rock,Welcome
2003,rock,Evalia
2003,rock,English Summer Rain
2003,rock,Where Is My Mind (XFM Live Version)
2003,rock,2 + 2 = 5
2003,rock,Amber Changing
2003,rock,Swing Life Away
2003,rock,Meet Me In The Bathroom
2003,rock,Between Love & Hate
2003,rock,Love Ain't No Stranger (2003 Digital Remaster)
2004,rock,Whitfield
2004,rock,How Does It Feel
2004,rock,Crawlspace
2004,pop,Let's Get It Started
2004,pop,Let's Get It Started
2004,rock,The Radio Saved My Life Tonight
2004,pop,My Prerogative
2004,jazz,How Insensitive
2004,rock,Motorcycle girl
2004,pop,Amazing
2004,rock,Amazing
2004,pop,Shoot The Dog
2004,rock,Shoot The Dog
2004,pop,What You Waiting For?
2004,rock,What You Waiting For?
2004,pop,Harajuku Girls
2004,rock,Harajuku Girls
2004,country,Redwing
2004,rock,A Crow Left Of The Murder
2004,pop,Mi Morena (Revised Live Version)
2004,rock,Day Old Blues
2004,rock,Jenny Take a Ride
2004,rock,Grey Skies Turn Blue
2004,rock,Don't Worry About It (Edited)
2004,pop,These Words
2004,pop,After Hours
2004,rock,After Hours
2004,pop,The Meantime
2004,rock,The Meantime
2004,pop,Here I Am
2004,rock,Here I Am
2004,rock,Final Straw (Album Version)
2004,rock,State Of The Union
2004,rock,Chatterbox
2004,rock,Citizen Of The Planet
2004,pop,Chelsea Girl (Live)
2004,rock,Chelsea Girl (Live)
2004,pop,Lost
2004,rock,Lost
2004,rock,Vertigo
2004,rock,Preparation
2004,rock,Mykel And Carli
2005,pop,Check On It
2005,rock,Up On That Cloud
2005,rock,Wildflower
2005,pop,Someday (I Will Understand)
2005,rock,Speed Of Sound (Live)
2005,rock,The World Turned Upside Down
2005,rock,Things I Don't Understand
2005,rock,Free (Album Version)
2005,pop,Until You Love Someone
2005,rock,No Ordinary Love (Remastered LP Version)
2005,country,I Want You (Album Version)
2005,rock,Hell
2005,rock,Razor
2005,rock,Still
2005,pop,Eleanor Put Your Boots On
2005,rock,Eleanor Put Your Boots On
2005,pop,Do You Want To
2005,rock,Do You Want To
2005,rock,Rockin' Every Night (Live)
2005,rock,White Light
2005,rock,November Has Come
2005,rock,Dirty Harry (Single Edit)
2005,rock,All Alone (Live)
2005,pop,Wake Me Up When September Ends (Live at Foxboro_ MA 9/3/05)
2005,rock,Wake Me Up When September Ends (Live at Foxboro_ MA 9/3/05)
2005,country,Have Yourself A Merry Little Christmas
2005,country,Go And Wash (Those Dirty Feet)
2005,pop,Mine Again
2005,country,Thanks A Lot
2005,country,I Can't Stop Loving You
2005,country,Pick Me Up On Your Way Down
2005,rock,Jetstream - Arthur Baker Remix
2005,rock,We Will Rock You
2005,rock,Follow You Home (Album Version)
2005,rock,Savin' Me
2005,rock,Yell Out
2005,rock,Lies
2005,rock,6TH Avenue Nightmare
2005,rock,I Never Came
2005,rock,This Lullaby
2005,pop,Music Of The Sun
2005,rock,Bury Your Head
2005,rock,Bury Your Head (Acoustic)
2005,pop,Prayer For The Dying (Live In Paris)
2005,country,Old Times Sake
2005,rock,Two Note Swivel (Unfinished Outtake)
2005,rock,What's Your Damage?
2005,rock,Snowball
2005,rock,Are You The One?
2005,rock,Blue Orchid
2006,rock,Affliction
2006,rock,Summer Shudder
2006,pop,Ring The Alarm
2006,pop,Ring The Alarm
2006,rock,Loving You Too Long
2006,pop,Dolorosa (Live)
2006,pop,Il Y A Une Question (Live)
2006,rock,Arnold Layne
2006,pop,Let It Be Me
2006,rock,Let It Be Me
2006,country,Lullaby
2006,rock,Feeling Blue
2006,rock,Good Enough
2006,pop,Mein Herz kann man nicht kaufen
2006,rock,The Blinding Sun
2006,pop,4 In The Morning
2006,rock,4 In The Morning
2006,rock,Stampede
2006,rock,Love Me
2006,pop,The Ghost At #1
2006,rock,The Ghost At #1
2006,rock,Just Like Lightnin'
2006,country,I Got Stripes (Live)
2006,rock,I Got Stripes (Live)
2006,pop,Lullaby [With Ladysmith Black Mambazo] (Album Version)
2006,rock,A Visit From Drum
2006,pop,U Killed It
2006,pop,Vogue [Live]
2006,pop,Jump [Jacques Lu Cont Edit]
2006,rock,We March To The Beat Of Indifferent Drum
2006,rock,Inside Job
2006,pop,SOS
2006,pop,We Ride
2006,rock,Drones
2006,rock,Intro/Chamber The Cartridge
2006,rock,Deliverance
2006,pop,I Love It [Clubstar Remix]
2006,country,Should've Said No
2006,rock,Truth And Lies
2006,rock,Broken Boy Soldier (KCRW Version)
2006,pop,What Do I Know
2006,rock,Son Of A Bitch
2007,pop,Ja (Hanno's Poppersmonstermix)
2007,rock,Better Life
2007,rock,She Will Love You (Album Version)
2007,rock,Teenage Queen (Album Version)
2007,rock,Innocence
2007,pop,Irreplaceable (Irreemplazable)
2007,rock,Mystic River
2007,reggae,Three Little Birds
2007,rock,I Love This Town
2007,pop,Break The Ice
2007,pop,The Reason I Go On
2007,rock,I Don't Want To Hear Any More
2007,rock,Last Good Time In Town
2007,country,Red Umbrella (Album Version)
2007,rock,If Ever
2007,pop,First Boyfriend
2007,reggae,To Your Arms of Love
2007,rock,Did You Get My Message?  (Live From Shubas)
2007,rock,Song For A Friend (Live From Montalvo)
2007,rock,Now I Got A Woman
2007,pop,Nunca Sabras
2007,rock,Nunca Sabras
2007,pop,No Volveras A Mi
2007,rock,No Volveras A Mi
2007,rock,My Party (Kenna Remix)
2007,rock,Knocked Up
2007,rock,Woo Hoo
2007,rock,Ragoo
2007,rock,The Song Remains The Same (2007 Remastered Album Version)
2007,rock,Cycle Time
2007,rock,Leather Prowler
2007,rock,Given Up (Album Version)
2007,rock,Survivalism
2007,rock,15 Step
2007,pop,Breakin' Dishes
2007,pop,Don't Stop The Music
2007,pop,Good Girl Gone Bad
2007,pop,Good Girl Gone Bad
2007,rock,The Murder Prologue
2007,rock,A Martyr For My Love For You
2007,rock,Im Slowly Turning Into You
2007,rock,Kite Live from Sydney
2008,rock,Who Are You
2008,pop,When A Man Loves A Woman
2008,pop,Saturday Love
2008,pop,Unbreak My Heart
2008,pop,Secret Lovers (Featuring Mica Paris)
2008,rock,The Modern Rome Burning
2008,pop,Single Ladies (Put A Ring On It)
2008,rock,Goodbye (Solo Version)
2008,rock,Zephyrus
2008,pop,Bullmoose (LP Version)
2008,rock,Bullmoose (LP Version)
2008,rock,Till We Ain't Strangers Anymore
2008,pop,Resistance
2008,rock,Josephine (French Edit)
2008,rock,You Can Do Better Than Me (Album Version)
2008,country,I'm Running Out Of Love
2008,pop,I'm Running Out Of Love
2008,country,Silent Night_ Holy Night! (Album Version)
2008,rock,Catcher In The Rye
2008,pop,Nothing But Sky [Outro] (Album Version)
2008,rock,Nothing But Sky [Outro] (Album Version)
2008,rock,Monsoon
2008,rock,Adrift
2008,reggae,Freedom
2008,pop,Mai [Live]
2008,pop,February Song [Live]
2008,rock,Autobahn (Live)
2008,pop,Poker Face
2008,pop,4 Minutes [Featuring Justin Timberlake And Timbaland] [Junkie XL Remix Edit]
2008,pop,Touch My Body
2008,rock,The End Of The Line
2008,rock,Intro / Time For Some Action
2008,pop,Love Like This
2008,rock,If Today Was Your Last Day (Album Version)
2008,pop,Leader (Album Version)
2008,rock,Leader (Album Version)
2008,country,Pretend
2008,pop,Lost In The Future
2008,country,The Way I Loved You
2008,rock,Yippiyo-Ay
2008,rock,If I Know You
2008,rock,Wake The Sleeper
2009,rock,Too Shy To Scream
2009,rock,Darling_ I Want To Destroy You
2009,rock,Killing Machine
2009,rock,Black Market Hell
2009,rock,Lesson Learned
2009,rock,Take Her Out
2009,rock,On Independence Day
2009,rock,The Gre(A)t Depression
2009,pop,PDA
2009,rock,One More Chance
2009,rock,Never Look Back
2009,rock,Million Miles
2009,pop,3
2009,reggae,Walking In Dub
2009,pop,No You Girls
2009,rock,No You Girls
2009,rock,Broke Down On The Brazos (Album)
2009,rock,Don't Stop
2009,pop,Al Final
2009,rock,Al Final
2009,pop,Volcán
2009,rock,Volcán
2009,pop,LDN (Warbox Original Cut Dub)
2009,pop,22 (Acoustic)
2009,pop,Everyone's At It
2009,pop,22 (Vingt Deux) (Feat. Ours)
2009,rock,Hardly Wait
2009,rock,The Never-Ending Why
2009,rock,Remember Me Lover (Album Version)
2009,rock,Fake Plastic Trees (Acoustic Version)
2009,rock,You (Demo)
2009,rock,Master Of The Universe
2009,rock,Angel Food
2009,rock,Roll Old Jeremiah
2009,rock,Good Morning Captain
2009,rock,Sodding About
2009,rock,FEZ-Being Born
2009,rock,I Don't Want To Let You Go
2010,pop,Rette Mich Später (Michael Ilbert Radio Mix)
2010,rock,Diamond Eyes (Album Version)
2010,rock,You And Your Heart
2010,rock,Lullaby For The Summer
2010,rock,Blues City Shake Down
2010,rock,Nature's Disappearing
2010,country,All Creatures Of Our God And King
